id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1432058052631134567,Other Cities,Glendale,34.16767360409868,-118.28108622078958,Entire home/apt,135.0,2.0,10.0,2025-08-02,4.11,6.0,321.0,10.0,
32813849,Other Cities,San Gabriel,34.07628,-118.09548,Entire home/apt,114.0,1.0,270.0,2025-08-17,3.43,3.0,323.0,26.0,
770775568858994713,Other Cities,Lakewood,33.84594,-118.11532,Entire home/apt,108.0,32.0,53.0,2025-08-17,1.74,1.0,350.0,4.0,
1497416864640537515,Other Cities,Malibu,34.03572,-118.82613,Entire home/apt,938.0,1.0,0.0,,0.0,3.0,363.0,0.0,STR25-0027
48121388,City of Los Angeles,Baldwin Hills/Crenshaw,34.0257,-118.36589,Entire home/apt,162.0,180.0,8.0,2021-03-11,0.14,2.0,365.0,0.0,HSR20-002576
816626976203762151,City of Los Angeles,Leimert Park,34.009449,-118.3179541,Entire home/apt,269.0,1.0,91.0,2025-08-18,2.99,1.0,237.0,24.0,HSR22-002920
1415410015594662748,Other Cities,Long Beach,33.78441806630718,-118.16748294896547,Entire home/apt,156.0,2.0,14.0,2025-08-17,5.6,1.0,289.0,14.0,NRP24-01953
845095493951574478,Unincorporated Areas,Westmont,33.94494,-118.31431,Private room,71.0,1.0,48.0,2025-08-21,1.85,3.0,50.0,15.0,
908836,City of Los Angeles,Valley Glen,34.18697,-118.41866,Private room,70.0,30.0,620.0,2020-03-20,4.06,1.0,173.0,0.0,HSR19-000870
1447516188360602537,Other Cities,Beverly Hills,34.06784,-118.37663,Entire home/apt,234.0,4.0,4.0,2025-08-19,1.82,31.0,0.0,4.0,
39176845,City of Los Angeles,Exposition Park,34.0197,-118.29778,Entire home/apt,80.0,30.0,21.0,2025-03-13,0.29,1.0,269.0,2.0,
40807914,City of Los Angeles,Mid-Wilshire,34.05402,-118.35328,Private room,89.0,30.0,0.0,,0.0,1.0,268.0,0.0,
1132694731621278572,Other Cities,Redondo Beach,33.86391,-118.38036,Entire home/apt,477.0,30.0,10.0,2025-08-13,0.6,1.0,364.0,3.0,
1219063462441161836,City of Los Angeles,Fairfax,34.08359592244109,-118.35253866480853,Entire home/apt,1000.0,30.0,0.0,,0.0,13.0,365.0,0.0,HSR23-000817
1186912808664990923,City of Los Angeles,Westchester,33.94722841903953,-118.39172361519124,Entire home/apt,243.0,30.0,0.0,,0.0,136.0,363.0,0.0,
32244057,Other Cities,Beverly Hills,34.06583,-118.37525,Entire home/apt,315.0,1.0,0.0,,0.0,1.0,269.0,0.0,
1379910001432098377,City of Los Angeles,Glassell Park,34.11892406994012,-118.25315919335006,Entire home/apt,163.0,1.0,15.0,2025-08-22,2.69,5.0,356.0,15.0,
850699679137244583,City of Los Angeles,Historic South-Central,34.01380301015035,-118.2617175132853,Entire home/apt,223.0,30.0,1.0,2023-08-22,0.04,4.0,365.0,0.0,HSR22-004164
1422622966512536629,Other Cities,Beverly Hills,34.06025609594424,-118.38388433355306,Entire home/apt,123.0,1.0,0.0,,0.0,19.0,364.0,0.0,
51483165,City of Los Angeles,Los Feliz,34.11368,-118.29425,Entire home/apt,1966.0,30.0,6.0,2024-05-02,0.2,2.0,273.0,0.0,HSR24-002489
1392920,City of Los Angeles,Studio City,34.13205,-118.36303,Entire home/apt,275.0,30.0,38.0,2025-04-27,0.26,1.0,23.0,2.0,
1267467356540232788,Unincorporated Areas,View Park-Windsor Hills,33.9949618563344,-118.34471556852456,Entire home/apt,246.0,1.0,7.0,2025-08-18,0.76,6.0,346.0,7.0,
1208742675218335062,Other Cities,West Hollywood,34.090060755808835,-118.3436641240241,Entire home/apt,312.0,2.0,27.0,2025-08-18,2.39,14.0,102.0,27.0,Exempt
46517947,Other Cities,El Monte,34.05742,-118.02297,Private room,52.0,1.0,41.0,2025-08-08,0.72,15.0,156.0,18.0,
1302907267261178769,Other Cities,West Hollywood,34.078632337309266,-118.38554726733445,Entire home/apt,131.0,30.0,2.0,2025-06-15,0.33,19.0,346.0,2.0,
1430599844629414343,City of Los Angeles,Hancock Park,34.06542220024544,-118.34186448496285,Entire home/apt,725.0,30.0,0.0,,0.0,1.0,356.0,0.0,HSR25-001683
908950178055269207,City of Los Angeles,Mar Vista,34.00603161448212,-118.43624020978285,Entire home/apt,137.0,31.0,4.0,2024-09-21,0.16,4.0,120.0,1.0,
15648985,Unincorporated Areas,Northeast Antelope Valley,34.690243,-117.838684,Entire home/apt,484.0,7.0,5.0,2022-05-31,0.08,1.0,365.0,0.0,
1055976,Other Cities,Santa Monica,34.02778,-118.49294,Entire home/apt,109.0,30.0,17.0,2023-05-06,0.13,7.0,346.0,0.0,
1338871614083695107,Other Cities,Monterey Park,34.060713,-118.127789,Entire home/apt,109.0,1.0,5.0,2025-07-27,0.96,3.0,365.0,5.0,
1209520351101134772,Other Cities,Pomona,34.07168,-117.7322,Private room,52.0,7.0,0.0,,0.0,5.0,355.0,0.0,
48571181,City of Los Angeles,Hyde Park,33.98186,-118.34252,Entire home/apt,100.0,90.0,4.0,2024-11-28,0.08,1.0,364.0,1.0,
1198901968676381368,City of Los Angeles,Beverly Grove,34.06623286833438,-118.36380068535436,Entire home/apt,208.0,30.0,0.0,,0.0,17.0,269.0,0.0,Exempt - This listing is a bed and breakfast
802217450415577123,Other Cities,Beverly Hills,34.08434308152722,-118.40751460679186,Entire home/apt,5280.0,1.0,1.0,2023-07-16,0.04,44.0,241.0,0.0,
1316898927461194067,City of Los Angeles,Sawtelle,34.031706097693394,-118.43358799504695,Shared room,27.0,30.0,1.0,2025-01-27,0.14,17.0,90.0,1.0,
625903424488783072,Other Cities,Inglewood,33.94086,-118.32655,Entire home/apt,244.0,31.0,50.0,2024-07-28,1.26,1.0,365.0,0.0,
53274584,Other Cities,Santa Monica,34.03619,-118.50262,Entire home/apt,178.0,1.0,144.0,2025-08-18,3.22,18.0,340.0,28.0,239533
52812819,City of Los Angeles,Echo Park,34.08518,-118.26161,Entire home/apt,125.0,31.0,0.0,,0.0,4.0,365.0,0.0,
910530213169913802,City of Los Angeles,Vermont Square,34.008721394780515,-118.30114918168428,Entire home/apt,239.0,3.0,67.0,2025-08-23,2.75,1.0,279.0,34.0,HSR23-002369
739267203945477390,Other Cities,Palmdale,34.56631,-118.025,Entire home/apt,184.0,2.0,0.0,,0.0,1.0,361.0,0.0,
45766873,City of Los Angeles,Woodland Hills,34.1733,-118.56326,Entire home/apt,594.0,30.0,0.0,,0.0,68.0,365.0,0.0,
1245002367099100333,City of Los Angeles,Fairfax,34.0866,-118.35189,Entire home/apt,1000.0,30.0,0.0,,0.0,19.0,364.0,0.0,HSR23-000817
1086957356246269042,Other Cities,Avalon,33.3534859,-118.330423,Entire home/apt,504.0,2.0,77.0,2025-08-21,4.1,1.0,134.0,37.0,
